reference,extractive_summary
"The gender role of a person, whether male or female, depends on the cultural values that develop in the classroom. In the patriarchal class, from the start the gender roles of male students were more dominant than girls, so there was a comparison of gender roles and in turn, men were considered more powerful than women in the class. However, poststructuralism discourse analysis views men's and women's rights equally. This paper reveals that there are differences between male and female students, as seen from the results of the analysis during class discussions. Poststructuralism discourse analysis provides equal rights and research is carried out naturally, without favoritism in learning. The teacher allows the discussion to take place so that it is clear that there is no teacher domination of male and female students.",keyword discourse competition discourse analysis poststructuralism critical discourse analysis emphasizes the constellation of forces that occur in the process of production and reproduction of meaning. analysis of the new order discourse can be categorized at the same time in the study of the fields of history politics social culture and even social psychology the same thing happens in the analysis of discourse on gender gender in mass media discourse competition in the classroom and others. discourse competition in the classroom between male and female students is an assessment of spoken language because of what is seen in the speech in the discussion. in this paper an analysis of spoken language in classroom interaction is carried out to see the dimensions of competition contained in the practice of in class discussion. the subject of this research is the speech of male and female students during the discussion.
"This study aims to describe and explain the implementation of Indonesian language and literature learning in SMP Negeri 2 Surakarta and SMP Negeri 4 Surakarta. The analysis of the learning implementation was emphasized on the analysis of learning media, learning materials, learning models and methods, and learning assessment for each school. This qualitative descriptive research method applied case study techniques. Sources of data were online learning events in both schools, teacher informants of both schools, and documents, while data collection techniques were learning observation, teacher informant interviews, and document analysis. Besides, the data validity technique was carried out by method triangulation and data source triangulation. The data were then analyzed by employing Miles and Hubermann’s flow analysis technique. The results revealed that the learning media utilized by the teachers varied, comprising WhatsApp groups, email, google classroom, google meet, zoom, YouTube, and radio. The learning materials used theWahana Pengetahuanpackage book and junior high school distance Indonesian learning e-modules, PPT, teacher-made modules, etc. Both schools also used the problem-based learning model. In addition, the assessment encompassed attitude assessment, knowledge assessment, and skills assessment.",if no students asked the teacher then distributed student worksheets on whatsapp or google classroom according to the learning media that the teacher was currently using. problem identification the teacher conveyed several problems related to the video in the form of written notes in the whatsapp group. it was in the form of written assignments related to listening reading and writing skills aspects because teachers primarily utilized whatsapp groups google classroom and an email learning media. the assignments were uploaded by the teacher to the whatsapp group or google classroom. then the completed assignments were submitted by students to the teacher s email if learning was with whatsapp group media or google classroom if the media used google classroom .
"The purpose of this study is to see how polite netizens are in commenting on Nadiem Makarim's Instagram account, Minister of Education and Culture. This type of research is a qualitative research with descriptive method. The data is sourced from the Instagram account (@nadiemmakariem), speech or writing in the comments of Nadiem Makarim's first post on August 17, 2020, the focus of the data is comments about online learning. The results showed that comments about online learning on Nadiem Makarim's posts were dominated by netizens who used polite speech or obeyed the principles of politeness. Comments that are found a lot are comments from school children and students for schools to be reactivated or they want schools to be opened and face to face. This is certainly a spirit that appears from the students and a positive thing. Complying with the netizen's politeness principle in commenting on Nadiem Makarim's Instagram account, there are 85 utterances or comments. Meanwhile, there are 54 violations of the netizen's politeness principles.",the data is sourced from the instagram account nadiemmakariem speech or writing in the comments of nadiem makarim s first post on august the focus of the data is comments about online learning. despite realizing that there are disparities in access to learning technology and the diverse backgrounds of parents the ministry of education and culture of the republic of indonesia firmly enforces online learning policies wahyono p. husamah . on august nadiem makarim minister of education and culture of the republic of indonesia in decided to be active again on social media. right in this situation with nadiem s activeness or decision to create an instagram account and use instagram to post activities and as a tool to channel and provide information about the policies he is doing in accordance with the goals he has prepared or facing unexpected circumstances like at this time that is during this pandemic. however it is undeniable that the various impacts that can be caused due to the response patterns of each netizen as social media users are different for example the emergence of impolite language use which causes violations of language politeness .
"This study aims to develop an academic module based on High Order Thinking skills (HOTS) for BIPA students from Guandong University Foreign Studies (GDUFS) and Yunan Mincu University (YMU) China. This research is developmental research which adopts the procedures of research and development by Borg and Gall. The data, including qualitative and quantitative, are collected by questionnaire to obtain data about the feasibility of the academic writing module based on higher thinking skills. The data analysis is using qualitative analysis and descriptive statistics. The results of the study is academic writing modules using higher-order thinking skills, consisting of introduction, content, and complement. The results of the validation from BIPA material expert show that the modules developed are categorized as good in terms of material presentation, organizational writing, language, format, and HOTS content. This is shown from the results of the average percentage of material experts of 82.50 which indicates the module is feasible and good to be used in academic writing learning for BIPA Chinese students.",revisions will be carried out at the next research stage according to the results of the expert validity test especially in parts the language used in the module needs to be simpler and simpler to make it easier for students to understand the material in it in each chapter it is necessary to provide pictures that support and related to the units discussed so that the module display is more attractive the exercises in each unit need to emphasize higher order thinking skills exercises aimed at knowing students understanding of academic writing theory must be reduced because they are less practical and applicable module layout design is not good and not attractive hots based practice questions are a bit difficult to understand especially for categories c c and c . based on the assessments of material experts bipa lecturers and material experts bipa organizers it appears that the modules developed in this study are rated in good and very good categories for each unit so it can be said that they are feasible to be used as teaching materials. however the suggestions and input from the material experts will be the material for improvement and revision of the module before being tested on the chinese bipa students of the credit transfer program. so that students can master the skills of writing scientific papers the module is one of the alternative teaching materials that can be developed because books especially for bipa students are not available in bookstores. based on the results of the research and discussion it was concluded that the results of the material expert s assessment which included aspects of the feasibility of the material the completeness of the module structure language format and hots content in practice the substance material of the module product was feasible to be used for the learning process.
"Penelitian ini bertujuan untuk menyelidiki dampak perkembangan teknologi informasi terhadap pembelajaran Bahasa Indonesia, dengan fokus pada SMPIT Rahmatutthoyyibah Al-Iflahah di Kabupaten Tangerang, khususnya kelas 8 tahun ajaran 2023-2024. Metodologi yang digunakan meliputi analisis literatur dan studi kasus. Data dikumpulkan melalui wawancara dengan pendidik, observasi langsung selama proses pembelajaran, serta analisis dokumen yang relevan. Hasil penelitian mengungkapkan bahwa teknologi informasi telah membawa perubahan signifikan dalam metode pembelajaran, memperluas aksesibilitas materi, meningkatkan interaktivitas dan keterlibatan siswa, serta memfasilitasi kolaborasi antar-pembelajar. Penemuan ini menyoroti pentingnya integrasi teknologi informasi untuk personalisasi pembelajaran, yang pada gilirannya dapat meningkatkan kualitas dan efektivitas pembelajaran Bahasa Indonesia. Penelitian ini merekomendasikan peningkatan akses terhadap teknologi dan pelatihan bagi pendidik untuk memaksimalkan manfaat teknologi informasi dalam pendidikan.",di era digital ini teknologi telah membawa perubahan besar dalam metode pengajaran aksesibilitas materi interaktivitas siswa kolaborasi antar pembelajar dan personalisasi pembelajaran. penelitian ini juga mengukur peningkatan interaktivitas dan keterlibatan siswa dalam proses pembelajaran menggunakan teknologi informasi. penggunaan aplikasi pembelajaran interaktif video pembelajaran dan platform daring memungkinkan siswa untuk belajar dengan cara yang lebih menarik dan fleksibel. teknologi informasi juga meningkatkan interaktivitas dan keterlibatan siswa melalui aplikasi dan platform pembelajaran yang menyediakan fitur interaktif seperti latihan soal permainan kata dan forum diskusi daring. hasil penelitian ini menunjukkan bahwa teknologi informasi memainkan peran penting dalam mengubah dan meningkatkan pembelajaran bahasa indonesia sesuai dengan tujuan penelitian yang mencakup perubahan metode pengajaran peningkatan aksesibilitas interaktivitas keterlibatan siswa kolaborasi antar pembelajar dan personalisasi pembelajaran.
"This study examines the choice of personal pronouns made by pedophiles in interactions in e-mail. The main focus of this study is to determine who is downloaded by the two pedophiles, namely JON and ZEE when using personal pronouns and compare the use by the two pedophiles. The data of this research is in the form of conversations involving both pedophiles in interactions in electronic mail. Data collection is done through non-participating observation techniques which are suitable for observing activities that are not possible to be involved in. The data obtained from observations in the form of screenshots of the conversations of the two pedophiles in the telegram group were then stored in the data folder. The analysis of the use of personal pronouns in this study uses Fairclough's critical discourse analysis (CDA) dimension model in the form of description, interpretation, and explanation. The results showed that the use of personal pronouns in the interaction of the two pedophiles in electronic mail had a significant difference. The findings of this study indicate that the perpetrators of ZEE crimes use the words of the first and third people which are the most dominant compared to the perpetrators of JON crimes. The dominance of the use of first person pronouns by criminals as evidenced by the use of the words I, I, and we. For the use of the second person pronouns used in the form of you, while the use of the third person pronouns in the form of he and they. The conclusion of this study is that using personal pronouns in pedophile interactions in electronic mail has power in various forms",the analysis of the use of personal pronouns in this study uses fairclough s critical discourse analysis cda dimension model in the form of description interpretation and explanation. the dominance of the use of first person pronouns by criminals as evidenced by the use of the words i i and we. for the use of the second person pronouns used in the form of you while the use of the third person pronouns in the form of he and they. keywords critical discourse analysis cda pedophiles power use of personal pronouns the subject of violence against children in indonesia has become one of the most widely discussed topics in the indonesian media. the study of the use of personal pronouns in political speeches is widely popular while research on the use of personal pronouns in criminal cases is rare.
"This research was inspired by discourse analysis of human expressive speech act as thepart of Illocutionary act. This study aims to analyze speech act to finally describe the function ofthe society‟s expressive speech acts towards Covid-19 survivors. Using qualitative method, thisresearch was conducted in Gowa Regency, South Sulawesi through observation, interviews, andrecording as data collection techniques. The instruments consist of the main instrument, which wasresearchers themselves, and supporting instruments including data analysis guides, observation,interview, and recording devices. The data was in the form of expressive words, phrases, clausesand sentences expressed by the society when communicating and interacting with Covid-19survivors. The data source was generally from the society without Covid-19 and from thesurvivors of Covid-19 who receive expressive speech act from the other. The results reveal thatthere were various function of expressive speech acts used among society during Covid-19pandemic such as the function of complaining, cursing, doubting, yelling, and fearing function.Those functions implicitly were represented to prevent Covid-19 survivors from repeating theirmistakes. Meanwhile, the functions of apologizing, condolences, motivating, and greeting wererepresented so that the people without Covid-19 can be the cause of healing for sufferers andsurvivors of Covid-19.",the data source was generally from the society without covid and from the survivors of covid who receive expressive speech act from the other. due to the rapid spread the large impact it has caused and the large number of covid survivors receiving expressive speech by the public made the expressive speech acts of covid survivors were interesting to study. the data are in the form of words phrases or sentences of expressive speech acts used by the society in interacting with the survivors of which are obtained through observation recording and interviews. results and discussion research results the results of research of expressive speech acts functions were presented by the society towards survivors of covid in the following the function of society expressive speech acts for covid survivors after conducting interviews with the informans and analizing the data based on the accompanying contexts ten functions of expressive speech acts obtained. the research data on the expressive speech function of the community towards covid survivors are described as follows.
"Sebuah video eksperimen sosial yang menampilkan dua 'orang gay' bergandengan tangan di jalan Moskow, Rusia, menarik perhatian pengguna internet global.",dalam video tersebut dua orang pemuda yang tampak bergandengan tangan melewati daerah daerah terkenal di pusta kota mendapat umpatan dan perlakuan kasar oleh sesama pengguna jalan. video eksperimen yang sudah ditonton tiga juta kali ini dibuat oleh cheburussiatv saluran youtube yang berisi video video jahil yang cukup populer di negara itu. rozhdesev mengatakan mereka membuat film itu dua hingga tiga jam di pusat kota. sementara yang lain mengatakan rusia akan menjadi satu satunya negara normal di mana anak akan mendapat ibu dan ayah bukan orang tua dan orang tua yang terjadi di bagian dunia lain yang gila. kelompok yang membuat video itu menyatakan mendukung hak kaum gay dan mengatakan reaksi masyarakat rusia sangatlah buruk.
"There are two objectives to be achieved by this study, first revealing the dominance of patriarchism in systems of inheritance. Secondly, revealing efforts to represent resistance to the customary systems of inheritance in literary works of Balinese cultural background. Theoretically, this research has an urgency for the development of literary discourse, while practically giving an understanding to the public about the attitude of inheritance issues in Bali. Theories of literary sociology and feminism are used as a basic foundation for analyzing the problems offered in this study. The main data sources of the research are two novels by Oka Rusmini, namely Tarian Bumi and Kenanga and two short stories by Putu Fajar Arcana, namely Sulasih and Wardani Marriage. After the data has been collected using the literature study method, then it is analyzed based on a descriptive qualitative method. The results show that the dominance of patriarchism in the adat system of inheritance has created social inequality. The customary inheritance system rules in literary works (Tarian Bumi, Kenanga, Sulasih, and Pernikahan Wardani) are monolithic, showing no partiality towards girls. Daughters who have “ninggal kedaton” (married) do not get a family “gunakaya” inheritance (gono gini). Efforts to resist patriarchal domination as represented in various literary works, starting with the character Luh Sadri, took repressive actions to sue for the distribution of inheritance, deceit, and be tough.",the results show that the dominance of patriarchism in the adat system of inheritance has created social inequality. one of the social inequalities due to patriarchism in bali is the inheritance customary system. patriarchism in the context of the inheritance customary law system in bali is evident in the rules which state that boys as heirs have the right to inheritance from the family including the use of wealth gono gini wealth while girls do not get the title of heir. the two novels by oka rusmini and the two short stories by putu fajar arcana have used as research subjects with a realistic consideration that these works represent the sociocultural problems experienced by most people in bali especially those related to the dominance of patriarchism in the inheritance customary system. there are two main objectives that become the urgency of this research namely to determine the forms of patriarchal domination of the inheritance customary system in literary works and to describe the resistance efforts of characters in literary works to the dominance of patriarchy as a form of representation of the author s. method there are two main objectives of this research first to describe the representation of the dominance of patriarchal ideology in cultural literature.
"This study aims to describe the feasibility and effectiveness of a Neuro Linguistic Programming (NLP) based speech therapy model. The speech therapy model was developed using the Borg and Gall model at Makassar State SLB through the stages of research and information gathering, planning, development of initial product forms, and preliminary field trials. Data from expert validation results were analyzed using descriptive statistics, and data on the ability to speak with the deaf was analyzed using inferential statistical tests (t-test paired samples). The results of the study indicate that the developed speech therapy model is appropriate and effective for use in speech therapy for the deaf. The feasibility speech therapy model is used because it meets the feasibility aspects, namely the feasibility of supporting theory, the feasibility of orientation and goals, the feasibility of the reaction principle, the feasibility of therapeutic procedures, the feasibility of support systems, and the feasibility of implementing therapy. Speech therapy models based on Neuro Linguistic Programming (NLP) can improve the ability of the deaf to pronounce and understand the meaning of vocabulary and reduce anxiety when speaking.",abstract this study aims to describe the feasibility and effectiveness of a neuro linguistic programming nlp based speech therapy model. the results of the study indicate that the developed speech therapy model is appropriate and effective for use in speech therapy for the deaf. speech therapy models based on neuro linguistic programming nlp can improve the ability of the deaf to pronounce and understand the meaning of vocabulary and reduce anxiety when speaking. in addition to providing novelty in its form the speech therapy model with neuro linguistic programming nlp is also believed to help the deaf in pronunciation language sound production and receptive language production. the integration of speech therapy with neuro linguistic programming nlp is a formulation of a speech therapy model that integrates operational procedures for the implementation of speech therapy with the stages of neuro linguistic programming nlp .
